XYXF,"{'F': 'F++FX+', 'X': '-F+[F]FAFA', 'A': '+YFEF-E', 'E': 'YFEAY', 'Y': '[-Y]'}",45,0.1
FSF,"{'F': 'SCF+B', 'M': '+SCC', 'C': '[]FC', 'S': '[]+', 'B': 'SB+M++FBF'}",188,0.06
NFCH,"{'F': '[]YHFHFF-', 'N': 'CHC', 'H': 'ECFFNE', 'Y': 'N[E]'}",36,0.14
F,"{'F': '[FF-FF--]F', 'L': '[+]'}",60,0.18
FF,"{'F': '-WW', 'W': 'FWW'}",238,1.0
A,"{'F': '[[]][A]+-FA', 'V': '-AAFF+V', 'A': 'F[F]+FF++'}",263,0.0
LJFJ,"{'F': '-JF', 'J': 'FL-+F'}",36,0.02
F,"{'F': 'L-F+', 'L': '-FU', 'U': '-FF'}",36,0.0
IX,"{'F': 'F', 'J': 'LF+X', 'G': 'G[FLFJ]', 'I': '[G]', 'X': '[FJ]F', 'L': 'FIIF'}",36,0.04
SSDS,"{'F': 'SFF', 'S': 'SFDF+', 'U': '+FF'}",36,0.02
LL,"{'F': 'XF+XLLF', 'L': 'XLGX', 'J': '[X-]JE', 'X': 'F', 'E': '[[JXX]XG]'}",83,0.06
CW,"{'F': '+', 'U': 'FU-C-FC', 'W': 'FFCC', 'C': '-FU'}",93,0.08
CNNC,"{'C': 'N[NFFFF]', 'E': 'E', 'N': '++CE[FE]+'}",145,0.1
P,"{'F': 'FFXFWH', 'P': '+[+XP]FWWW', 'W': 'FF[F]', 'X': '[F]'}",60,0.0
FM,{'M': '[MF+]++M'},8,0.0
ACAH,"{'F': 'CH+F', 'A': '+-[--]', 'C': '-CFFF', 'H': 'AC+'}",45,0.08
F,"{'F': 'RR', 'R': 'RFFF-'}",90,0.06
C,"{'F': 'F+C[X]-C', 'E': '-F+XE', 'X': '+XXC', 'C': '+FFEPNX', 'N': '-XF', 'P': '[]+EP'}",45,0.04
ZKFW,"{'F': '-B+[B]', 'Z': 'FFEFBWF', 'E': 'F+BZFKKF-', 'K': '[B]EF', 'W': 'W-K+-', 'B': 'KWF-EE'}",45,0.04
FV,"{'F': '-VFNFN', 'V': 'N+V+', 'N': 'XFNFX+', 'X': 'F'}",90,0.04
FAZ,"{'F': '-A[C]CAFC', 'M': '-', 'A': 'ZFM', 'C': 'Z+-+', 'Z': '[[][]-]FFF'}",60,0.02
IHW,"{'F': '[IFF]-FWF', 'W': '+WI+[FH]', 'I': 'H[+F+FFF]', 'H': '[FI]IF'}",45,0.04
FXXC,"{'F': '-+FC+', 'X': 'XFA+C', 'A': '[XX]XFC'}",95,0.06
NXFN,"{'F': 'EFXETX', 'E': '[WF]N-XF-F', 'T': 'X[XXN+]+F-', 'W': 'F-', 'N': 'T', 'X': '[]E'}",90,0.02
PP,"{'F': 'B[P-+F-]-', 'B': 'FJF-++P+F', 'J': 'J-PF+-JB', 'P': 'FPBB'}",217,0.0
